tense_id,tense_name,table_id_start,table_id_end
1,פָּעַל,1,64
2,נִפְעַל,65,90
3,פִּעֵל,91,117
4,פֻּעַל,118,134
5,הִתְפַּעֵל,135,177
6,הִפְעִיל,178,211
7,הֻפְעַל,212,235
