table_id,verb_root,comments
22,שמח,
22,תבע,
22,תפח,
22,תקע,
23,תמה,
23,כמה,
24,גבה,
25,ישב,
25,הלך,
25,ילד,
25,ירד,
26,ינק,
26,יבש,
26,יסד,
26,יעץ,
26,ירק,
26,ירש,
27,ישן,
28,יצא,
29,ירא,
30,ידע,
31,יגע,
32,נפל,
32,יזם,
32,יצק,
32,יצר,
32,נבל,
32,נדב,
32,נדר,
32,נטל,
32,נטף,
32,נטש,
32,נקב,
32,נקם,
32,נשב,
32,נשך,
32,נשף,
32,נשר,
33,נזל,
33,נסק,
34,נסע,
34,לקח,
34,נגח,
34,נגע,
34,נטע,
34,נקע,
35,קרא,
35,ברא,
35,גמא,
35,כלא,
35,מחא,
35,מצא,
35,סבא,
35,קפא,
36,נשא,
37,צמא,
37,טמא,
37,שנא,
38,קנה,
38,בדה,
38,בכה,
38,בנה,
38,גבה,
38,גלה,
38,דלה,
38,דמה,
38,זכה,
38,זנה,
38,זרה,
38,טוה,
38,כפה,
38,כרה,
38,לוה,
38,לקה,
38,מנה,
38,משה,
38,סטה,
38,פדה,
38,פלה,
38,פנה,
38,פצה,
38,פרה,
38,צלה,
38,צפה,
38,קלה,
38,קרה,
38,רדה,
38,פדה,
38,פלה,
38,פנה,
38,פצה,
38,פרה,
38,צלה,
38,צפה,
38,קלה,
38,קרה,
38,רדה,
38,רצה,
38,שבה,
38,שגה,
38,שלה,
38,שרה,
38,שתה,
38,תלה,
39,כבה,
39,בלה,
39,יפה,
39,כלה,
39,רוה,
39,רזה,
40,ראה,
40,בהה,
40,גאה,
40,געה,
40,דאה,
40,דהה,
40,דחה,
40,טעה,
40,מחה,
40,רעה,
40,שהה,
40,שחה,
40,שעה,
40,תהה,
40,תעה,
41,כהה,
41,קהה,
42,נטה,
43,ירה,
44,עשה,
44,הרה,
44,חנה,
44,עטה,
44,עלה,
44,ענה,
45,חלה,
45,הזה,
45,המה,
45,חוה,
45,חזה,
45,חצה,
46,הגה,
46,חסה,
47,אפה,
48,היה,
49,חיה,
50,קום,
50,אוץ,
50,בוז,
50,גור,
50,דוג,
50,דון,
50,דור,
50,דוש,
50,זוז,
50,זון,
50,חוג,
50,חוד,
50,חול,
50,חוס,
50,חוש,
50,טוס,
50,לון,
50,לוש,
50,מול,
50,נום,
50,נוס,
50,סור,
50,עוט,
50,עוף,
50,צוד,
50,צום,
50,צוף,
50,צור,
50,קוץ,
50,רוץ,
50,שוב,
50,שוט,
50,תור,
51,בוש,
52,נוח,
52,זוע,
52,נוע,
53,שים,
53,ריב,
53,שיר,
54,בוא,
55,יכל,
56,קטן,
57,שמן,
58,נתן,
59,כרת,
59,זקן,
59,כפת,
59,לפת,
59,שבת,
59,שתת,
60,מות,
61,נגש,
62,חנן,
63,טמן,
63,קרן,
63,רגן,
63,רכן,
63,שכן,
64,עגן,
65,כנס,
65,בדל,
65,בדק,
65,בזז,
65,בלם,
65,גזם,
65,גזר,
65,גמל,
65,גמר,
65,גנב,
65,גנז,
65,גרם,
65,גרס,
65,גרף,
65,גרר,
65,דבק,
65,דבר,
65,דלק,
65,דקר,
65,דרס,
65,דרש,
65,זכר,
65,זקק,
65,זרק,
65,טבל,
65,טפל,
65,טרף,
65,טרק,
65,כבל,
65,כבש,
65,כלל,
65,כלם,
65,כסף,
65,כפל,
65,כרך,
65,כשל,
65,כתב,
65,לכד,
65,למד,
65,מדד,
65,מזג,
65,מכר,
65,מלט,
65,מסר,
65,מצץ,
65,מרט,
65,משך,
